Trace,Prefetcher,IPCI,Delta IPCI,Coverage,Overprediction,Accuracy,MPKI
Average,bop,1.1879702963773178,-,0.3938425424635297,0.07400538007573007,0.7430088157174433,1.7876241051261188
Average,spp,1.2325845615712911,-,0.5022003458156424,0.011247072265831931,0.9797214592765191,1.4661237175642399
Average,vldp,1.2043117129566006,-,0.4926408105767111,0.016801940391644486,0.9217475060474795,1.4984990634385302
Average,ampm,1.2245722267927504,-,0.5289325670741426,0.06555526245009793,0.9083217294465156,1.3922498260000868
Average,sms,1.2372924671627938,-,0.6110441629606249,0.03332940652376002,0.896286788145944,1.1494989941888651
Average,bingo_thresh020,1.2453353941500165,0.008042926987222643,0.624801427616257,0.06534571294786475,0.8177829617711927,1.1088740298138167
Average,no,1.0,-,0.0,0.0,-,2.9554974139410097
mix1,bop,1.1879702963773178,-,0.3938425424635297,0.07400538007573007,0.7430088157174433,1.7876241051261188
mix1,spp,1.2325845615712911,-,0.5022003458156424,0.011247072265831931,0.9797214592765191,1.4661237175642399
mix1,vldp,1.2043117129566006,-,0.4926408105767111,0.016801940391644486,0.9217475060474795,1.4984990634385302
mix1,ampm,1.2245722267927504,-,0.5289325670741426,0.06555526245009793,0.9083217294465156,1.3922498260000868
mix1,sms,1.2372924671627938,-,0.6110441629606249,0.03332940652376002,0.896286788145944,1.1494989941888651
mix1,bingo_thresh020,1.2453353941500165,0.008042926987222643,0.624801427616257,0.06534571294786475,0.8177829617711927,1.1088740298138167
mix1,no,1.0,-,0.0,0.0,-,2.9554974139410097
