Trace,Prefetcher,IPCI,Delta IPCI,Coverage,Overprediction,Accuracy,MPKI
Average,bop,1.2818519479139714,-,0.6650832567871618,0.015435369861831168,0.929245104228749,0.951999165938275
Average,spp,1.230743050607277,-,0.5146901440990476,0.008136879041297462,0.9854249783711029,1.3792491376882765
Average,vldp,1.254821669165667,-,0.6633262370084355,0.010986104330587972,0.9444850969161791,0.9614995192503606
Average,ampm,1.2316573396400268,-,0.5711017601976349,0.026569696086218307,0.961882830357368,1.2187490858759142
Average,sms,1.233940955560983,-,0.6183577149481253,0.029692086492625107,0.9065359766462167,1.08449932218811
Average,bingo_thresh020,1.2545590392898398,-0.027292908624131584,0.664095696499399,0.04640898902476874,0.8626145311459732,0.954499403438037
Average,no,1.0,-,0.0,0.0,-,2.8414982240640985
mix1,bop,1.2818519479139714,-,0.6650832567871618,0.015435369861831168,0.929245104228749,0.951999165938275
mix1,spp,1.230743050607277,-,0.5146901440990476,0.008136879041297462,0.9854249783711029,1.3792491376882765
mix1,vldp,1.254821669165667,-,0.6633262370084355,0.010986104330587972,0.9444850969161791,0.9614995192503606
mix1,ampm,1.2316573396400268,-,0.5711017601976349,0.026569696086218307,0.961882830357368,1.2187490858759142
mix1,sms,1.233940955560983,-,0.6183577149481253,0.029692086492625107,0.9065359766462167,1.08449932218811
mix1,bingo_thresh020,1.2545590392898398,-0.027292908624131584,0.664095696499399,0.04640898902476874,0.8626145311459732,0.954499403438037
mix1,no,1.0,-,0.0,0.0,-,2.8414982240640985
